date,geography,geography code,Rural Urban,Sex: All persons; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: All persons; Economic Activity: Economically active; measures: Value,Sex: All persons; Economic Activity: Economically active: In employment; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: All persons; Economic Activity: Economically active: Self-employed; measures: Value,Sex: All persons; Economic Activity: Economically active: Unemployed; measures: Value,Sex: All persons; Economic Activity: Economically active: Full-time student; measures: Value,Sex: All persons; Economic Activity: Economically Inactive; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Retired; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: All persons; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: All persons; Economic Activity: Economically inactive: Other; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: All persons; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: All persons; Economic Activity: Unemployed: Never worked; measures: Value,Sex: All persons; Economic Activity: Long-term unemployed; measures: Value,Sex: Males; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Males; Economic Activity: Economically active; measures: Value,Sex: Males; Economic Activity: Economically active: In employment; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Males; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Males; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Males; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Males; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Males; Economic Activity: Economically Inactive; measures: Value,Sex: Males; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Males; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Males; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Males; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Males; Economic Activity: Economically inactive: Other; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Males; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Males; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Males; Economic Activity: Long-term unemployed; measures: Value,Sex: Females; Economic Activity: All usual residents aged 16 to 74; measures: Value,Sex: Females; Economic Activity: Economically active; measures: Value,Sex: Females; Economic Activity: Economically active: In employment; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Part-time; measures: Value,Sex: Females; Economic Activity: Economically active: Employee: Full-time; measures: Value,Sex: Females; Economic Activity: Economically active: Self-employed; measures: Value,Sex: Females; Economic Activity: Economically active: Unemployed; measures: Value,Sex: Females; Economic Activity: Economically active: Full-time student; measures: Value,Sex: Females; Economic Activity: Economically Inactive; measures: Value,Sex: Females; Economic Activity: Economically inactive: Retired; measures: Value,Sex: Females; Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Sex: Females; Economic Activity: Economically inactive: Looking after home or family; measures: Value,Sex: Females; Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Sex: Females; Economic Activity: Economically inactive: Other; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 16 to 24; measures: Value,Sex: Females; Economic Activity: Unemployed: Age 50 to 74; measures: Value,Sex: Females; Economic Activity: Unemployed: Never worked; measures: Value,Sex: Females; Economic Activity: Long-term unemployed; measures: Value,RowID
2011,Richmond upon Thames,E09000027,Total,137779,104090,96185,14207,61511,20467,4153,3752,33689,13794,7383,6979,2802,2731,810,998,450,1560,67574,55137,51119,3327,35281,12511,2354,1664,12437,5840,3498,411,1481,1207,509,638,253,845,70205,48953,45066,10880,26230,7956,1799,2088,21252,7954,3885,6568,1321,1524,301,360,197,715,219
2011,Sutton,E09000029,Total,138710,103995,94432,18502,60111,15819,5429,4134,34715,15461,6454,6238,3904,2658,1378,1035,759,2155,67721,54464,49579,3719,34026,11834,3009,1876,13257,6451,3246,409,2049,1102,869,644,426,1060,70989,49531,44853,14783,26085,3985,2420,2258,21458,9010,3208,5829,1855,1556,509,391,333,1095,220
2011,Waltham Forest,E09000031,Total,190978,135015,114964,21889,69385,23690,11654,8397,55963,15335,15209,11429,7166,6824,2892,1775,2687,4458,95950,73795,62402,7299,37991,17112,6567,4826,22155,6723,8154,944,3553,2781,1700,1127,1366,2486,95028,61220,52562,14590,31394,6578,5087,3571,33808,8612,7055,10485,3613,4043,1192,648,1321,1972,221
2011,Bracknell Forest,E06000036,Total,83116,65137,59995,11066,40762,8167,2808,2334,17979,8496,3007,3450,1770,1256,742,626,281,1058,41416,34612,31964,1960,24288,5716,1583,1065,6804,3596,1533,208,891,576,460,390,170,509,41700,30525,28031,9106,16474,2451,1225,1269,11175,4900,1474,3242,879,680,282,236,111,549,222
2011,Brighton and Hove,E06000043,Total,210792,150853,130732,27492,75999,27241,7818,12303,59939,19625,20567,7249,8813,3685,1968,1345,863,3023,106215,79645,69427,7222,43788,18417,4647,5571,26570,8850,10441,709,4866,1704,1183,881,502,1720,104577,71208,61305,20270,32211,8824,3171,6732,33369,10775,10126,6540,3947,1981,785,464,361,1303,223
2011,Isle of Wight,E06000046,Total,99747,64218,57634,15728,30353,11553,4386,2198,35529,20478,3661,3933,4504,2953,1310,935,417,1764,49344,33606,29913,3675,18305,7933,2659,1034,15738,9001,1882,471,2388,1996,829,588,273,1029,50403,30612,27721,12053,12048,3620,1727,1164,19791,11477,1779,3462,2116,957,481,347,144,735,224
2011,Medway,E06000035,Total,194158,137954,121925,27137,77912,16876,9469,6560,56204,24738,9912,10105,7334,4115,2982,1710,1449,3818,97049,74758,65959,4962,48185,12812,5702,3097,22291,10718,4900,833,3821,2019,1898,1171,883,2083,97109,63196,55966,22175,29727,4064,3767,3463,33913,14020,5012,9272,3513,2096,1084,539,566,1735,225
2011,Milton Keynes,E06000042,Total,181385,137717,123379,23644,84004,15731,8640,5698,43668,18654,7143,8338,5810,3723,2056,1720,986,3364,90038,73548,65916,4745,49949,11222,4956,2676,16490,7695,3688,646,2790,1671,1250,1093,512,1800,91347,64169,57463,18899,34055,4509,3684,3022,27178,10959,3455,7692,3020,2052,806,627,474,1564,226
2011,Portsmouth,E06000044,Total,153705,105834,89920,20626,57743,11551,6536,9378,47871,16385,16380,6297,5813,2996,1694,1221,810,2730,78625,56830,48347,4475,34923,8949,3878,4605,21795,7195,9471,614,3108,1407,1046,827,473,1515,75080,49004,41573,16151,22820,2602,2658,4773,26076,9190,6909,5683,2705,1589,648,394,337,1215,227
2011,Reading,E06000038,Total,116808,86329,75175,13883,52054,9238,5329,5825,30479,10001,9297,5334,3227,2620,1268,928,812,2195,59094,46757,41056,3160,31025,6871,3005,2696,12337,4364,4723,405,1620,1225,782,623,423,1188,57714,39572,34119,10723,21029,2367,2324,3129,18142,5637,4574,4929,1607,1395,486,305,389,1007,228
